Date,Strike price,Close,Expiration
2016-12-22, 8050,133.05,34
2016-12-23, 8050,120.0,33
2016-12-26, 8050,89.2,30
2016-12-27, 8050,124.55,29
2016-12-28, 8050,128.25,28
2016-12-29, 8050,160.45,27
2016-12-30, 8050,204.2,26
2017-01-02, 8050,202.1,23
2017-01-03, 8050,201.9,22
2017-01-04, 8050,210.0,21
2017-01-05, 8050,268.15,20
2017-01-06, 8050,249.95,19
2017-01-09, 8050,228.85,16
2017-01-10, 8050,266.3,15
2017-01-11, 8050,358.6,14
2017-01-12, 8050,361.4,13
2017-01-13, 8050,387.95,12
2017-01-16, 8050,392.6,9
2017-01-17, 8050,357.85,8
2017-01-18, 8050,388.8,7
2017-01-19, 8050,387.15,6
2017-01-20, 8050,310.5,5
2017-01-23, 8050,362.35,2
2017-01-24, 8050,428.95,1
2017-01-25, 8050,555.95,0
2016-12-23, 8350,24.5,33
2016-12-26, 8350,18.0,30
2016-12-27, 8350,24.95,29
2016-12-28, 8350,23.5,28
2016-12-29, 8350,32.0,27
2016-12-30, 8350,46.1,26
2017-01-02, 8350,45.55,23
2017-01-03, 8350,44.15,22
2017-01-04, 8350,44.65,21
2017-01-05, 8350,68.0,20
2017-01-06, 8350,57.8,19
2017-01-09, 8350,47.0,16
2017-01-10, 8350,58.45,15
2017-01-11, 8350,97.2,14
2017-01-12, 8350,113.35,13
2017-01-13, 8350,106.05,12
2017-01-16, 8350,115.0,9
2017-01-17, 8350,90.0,8
2017-01-18, 8350,103.25,7
2017-01-19, 8350,105.8,6
2017-01-20, 8350,52.0,5
2017-01-23, 8350,69.3,2
2017-01-24, 8350,134.95,1
2017-01-25, 8350,254.9,0
2016-12-14, 8600,31.0,42
2016-12-15, 8600,23.85,41
2016-12-16, 8600,17.45,40
2016-12-19, 8600,13.0,37
2016-12-20, 8600,9.55,36
2016-12-21, 8600,8.4,35
2016-12-22, 8600,6.65,34
2016-12-23, 8600,5.65,33
2016-12-26, 8600,3.7,30
2016-12-27, 8600,4.45,29
2016-12-28, 8600,4.35,28
2016-12-29, 8600,4.8,27
2016-12-30, 8600,7.55,26
2017-01-02, 8600,6.45,23
2017-01-03, 8600,6.0,22
2017-01-04, 8600,5.5,21
2017-01-05, 8600,8.8,20
2017-01-06, 8600,7.65,19
2017-01-09, 8600,5.2,16
2017-01-10, 8600,5.7,15
2017-01-11, 8600,10.7,14
2017-01-12, 8600,12.0,13
2017-01-13, 8600,9.45,12
2017-01-16, 8600,8.8,9
2017-01-17, 8600,5.1,8
2017-01-18, 8600,5.15,7
2017-01-19, 8600,3.9,6
2017-01-20, 8600,1.8,5
2017-01-23, 8600,0.7,2
2017-01-24, 8600,0.75,1
2017-01-25, 8600,0.05,0
2016-12-16, 8250,111.9,40
2016-12-22, 8250,53.3,34
2016-12-23, 8250,45.5,33
2016-12-26, 8250,31.0,30
2016-12-27, 8250,45.0,29
2016-12-28, 8250,44.95,28
2016-12-29, 8250,62.0,27
2016-12-30, 8250,84.0,26
2017-01-02, 8250,83.05,23
2017-01-03, 8250,83.4,22
2017-01-04, 8250,84.55,21
2017-01-05, 8250,121.2,20
2017-01-06, 8250,104.0,19
2017-01-09, 8250,90.0,16
2017-01-10, 8250,109.0,15
2017-01-11, 8250,165.45,14
2017-01-12, 8250,191.5,13
2017-01-13, 8250,184.0,12
2017-01-16, 8250,192.65,9
2017-01-17, 8250,164.15,8
2017-01-18, 8250,185.6,7
2017-01-19, 8250,189.05,6
2017-01-20, 8250,127.65,5
2017-01-23, 8250,152.45,2
2017-01-24, 8250,232.95,1
2017-01-25, 8250,354.0,0
2016-12-14, 8100,246.95,42
2016-12-15, 8100,216.85,41
2016-12-16, 8100,195.85,40
2016-12-19, 8100,175.0,37
2016-12-20, 8100,157.25,36
2016-12-21, 8100,138.05,35
2016-12-22, 8100,107.5,34
2016-12-23, 8100,98.5,33
2016-12-26, 8100,69.75,30
2016-12-27, 8100,99.0,29
2016-12-28, 8100,100.35,28
2016-12-29, 8100,132.25,27
2016-12-30, 8100,170.5,26
2017-01-02, 8100,170.0,23
2017-01-03, 8100,167.25,22
2017-01-04, 8100,174.9,21
2017-01-05, 8100,227.0,20
2017-01-06, 8100,209.4,19
2017-01-09, 8100,190.6,16
2017-01-10, 8100,221.6,15
2017-01-11, 8100,295.7,14
2017-01-12, 8100,327.55,13
2017-01-13, 8100,319.75,12
2017-01-16, 8100,338.0,9
2017-01-17, 8100,304.95,8
2017-01-18, 8100,325.1,7
2017-01-19, 8100,336.65,6
2017-01-20, 8100,264.25,5
2017-01-23, 8100,306.8,2
2017-01-24, 8100,383.0,1
2017-01-25, 8100,500.0,0
2016-12-14, 8400,83.4,42
2016-12-15, 8400,66.7,41
2016-12-16, 8400,56.2,40
2016-12-19, 8400,44.75,37
2016-12-20, 8400,35.25,36
2016-12-21, 8400,30.9,35
2016-12-22, 8400,23.35,34
2016-12-23, 8400,18.95,33
2016-12-26, 8400,12.9,30
2016-12-27, 8400,17.1,29
2016-12-28, 8400,16.55,28
2016-12-29, 8400,22.7,27
2016-12-30, 8400,33.0,26
2017-01-02, 8400,31.5,23
2017-01-03, 8400,31.3,22
2017-01-04, 8400,30.75,21
2017-01-05, 8400,48.6,20
2017-01-06, 8400,40.15,19
2017-01-09, 8400,31.55,16
2017-01-10, 8400,39.85,15
2017-01-11, 8400,69.45,14
2017-01-12, 8400,83.1,13
2017-01-13, 8400,75.05,12
2017-01-16, 8400,80.1,9
2017-01-17, 8400,59.7,8
2017-01-18, 8400,69.45,7
2017-01-19, 8400,71.0,6
2017-01-20, 8400,29.5,5
2017-01-23, 8400,37.65,2
2017-01-24, 8400,88.5,1
2017-01-25, 8400,198.0,0
2016-12-20, 8150,130.0,36
2016-12-21, 8150,111.25,35
2016-12-22, 8150,85.0,34
2016-12-23, 8150,76.2,33
2016-12-26, 8150,54.0,30
2016-12-27, 8150,75.7,29
2016-12-28, 8150,77.1,28
2016-12-29, 8150,102.95,27
2016-12-30, 8150,137.9,26
2017-01-02, 8150,135.6,23
2017-01-03, 8150,135.45,22
2017-01-04, 8150,141.0,21
2017-01-05, 8150,188.0,20
2017-01-06, 8150,168.6,19
2017-01-09, 8150,155.35,16
2017-01-10, 8150,171.05,15
2017-01-11, 8150,247.0,14
2017-01-12, 8150,275.95,13
2017-01-13, 8150,269.45,12
2017-01-16, 8150,284.3,9
2017-01-17, 8150,251.05,8
2017-01-18, 8150,273.9,7
2017-01-19, 8150,287.4,6
2017-01-20, 8150,215.0,5
2017-01-23, 8150,254.4,2
2017-01-24, 8150,332.9,1
2017-01-25, 8150,451.4,0
2016-12-14, 7900,402.0,42
2016-12-15, 7900,364.0,41
2016-12-16, 7900,336.3,40
2016-12-19, 7900,312.0,37
2016-12-20, 7900,293.95,36
2016-12-21, 7900,267.95,35
2016-12-22, 7900,219.15,34
2016-12-23, 7900,212.1,33
2016-12-26, 7900,164.4,30
2016-12-27, 7900,219.95,29
2016-12-28, 7900,225.5,28
2016-12-29, 7900,268.35,27
2016-12-30, 7900,325.45,26
2017-01-02, 7900,326.0,23
2017-01-03, 7900,322.65,22
2017-01-04, 7900,332.55,21
