Date,Strike price,Close,Expiration
2018-03-13,10000,512.0,44
2018-03-14,10000,513.4,43
2018-03-15,10000,465.55,42
2018-03-16,10000,361.2,41
2018-03-19,10000,283.9,38
2018-03-20,10000,298.8,37
2018-03-21,10000,316.65,36
2018-03-22,10000,281.25,35
2018-03-23,10000,199.95,34
2018-03-26,10000,281.4,31
2018-03-27,10000,303.95,30
2018-03-28,10000,260.95,29
2018-04-02,10000,328.05,24
2018-04-03,10000,339.6,23
2018-04-04,10000,242.1,22
2018-04-05,10000,388.1,21
2018-04-06,10000,387.3,20
2018-04-09,10000,417.05,17
2018-04-10,10000,439.6,16
2018-04-11,10000,441.45,15
2018-04-12,10000,477.5,14
2018-04-13,10000,495.75,13
2018-04-16,10000,545.15,10
2018-04-17,10000,553.95,9
2018-04-18,10000,540.45,8
2018-04-19,10000,582.55,7
2018-04-20,10000,582.5,6
2018-04-23,10000,579.8,3
2018-04-24,10000,610.95,2
2018-04-25,10000,563.1,1
2018-04-26,10000,611.1,0
2018-03-23,10050,172.95,34
2018-03-26,10050,242.0,31
2018-03-27,10050,267.25,30
2018-03-28,10050,227.95,29
2018-04-02,10050,290.65,24
2018-04-03,10050,298.8,23
2018-04-04,10050,210.35,22
2018-04-05,10050,342.2,21
2018-04-06,10050,332.0,20
2018-04-09,10050,358.0,17
2018-04-10,10050,396.45,16
2018-04-12,10050,410.0,14
2018-04-16,10050,494.7,10
2018-04-17,10050,503.8,9
2018-04-18,10050,518.6,8
2018-04-19,10050,520.3,7
2018-04-20,10050,515.0,6
2018-04-23,10050,554.9,3
2018-04-25,10050,485.0,1
2018-04-26,10050,561.05,0
2018-03-13,10100,429.4,44
2018-03-14,10100,431.1,43
2018-03-15,10100,390.9,42
2018-03-16,10100,291.8,41
2018-03-19,10100,221.7,38
2018-03-20,10100,229.45,37
2018-03-21,10100,247.7,36
2018-03-22,10100,217.35,35
2018-03-23,10100,148.65,34
2018-03-26,10100,215.4,31
2018-03-27,10100,235.45,30
2018-03-28,10100,199.55,29
2018-04-02,10100,252.05,24
2018-04-03,10100,262.85,23
2018-04-04,10100,178.95,22
2018-04-05,10100,304.15,21
2018-04-06,10100,302.7,20
2018-04-09,10100,331.4,17
2018-04-10,10100,349.6,16
2018-04-11,10100,350.35,15
2018-04-12,10100,382.2,14
2018-04-13,10100,400.55,13
2018-04-16,10100,449.15,10
2018-04-17,10100,453.5,9
2018-04-18,10100,437.15,8
2018-04-19,10100,478.05,7
2018-04-20,10100,484.45,6
2018-04-23,10100,481.05,3
2018-04-24,10100,512.9,2
2018-04-25,10100,464.25,1
2018-04-26,10100,512.8,0
2018-03-13,10150,440.0,44
2018-03-19,10150,198.8,38
2018-03-20,10150,207.85,37
2018-03-21,10150,217.2,36
2018-03-22,10150,184.7,35
2018-03-23,10150,126.1,34
2018-03-26,10150,184.35,31
2018-03-27,10150,201.45,30
2018-03-28,10150,170.35,29
2018-04-02,10150,217.25,24
2018-04-03,10150,227.15,23
2018-04-04,10150,150.25,22
2018-04-05,10150,263.3,21
2018-04-06,10150,262.35,20
2018-04-09,10150,286.25,17
2018-04-10,10150,300.6,16
2018-04-11,10150,303.5,15
2018-04-12,10150,333.55,14
2018-04-13,10150,353.6,13
2018-04-16,10150,397.75,10
2018-04-17,10150,407.0,9
2018-04-18,10150,380.25,8
2018-04-19,10150,422.95,7
2018-04-20,10150,432.65,6
2018-04-23,10150,433.05,3
2018-04-24,10150,458.85,2
2018-04-25,10150,412.6,1
2018-04-26,10150,461.75,0
2018-03-13,10200,352.85,44
2018-03-14,10200,348.3,43
2018-03-15,10200,312.2,42
2018-03-16,10200,230.45,41
2018-03-19,10200,166.1,38
2018-03-20,10200,173.25,37
2018-03-21,10200,189.45,36
2018-03-22,10200,161.2,35
2018-03-23,10200,105.3,34
2018-03-26,10200,156.75,31
2018-03-27,10200,171.55,30
2018-03-28,10200,141.35,29
2018-04-02,10200,185.1,24
2018-04-03,10200,194.8,23
2018-04-04,10200,124.65,22
2018-04-05,10200,228.85,21
2018-04-06,10200,226.7,20
2018-04-09,10200,249.8,17
2018-04-10,10200,264.45,16
2018-04-11,10200,264.3,15
2018-04-12,10200,293.35,14
2018-04-13,10200,308.3,13
2018-04-16,10200,352.5,10
2018-04-17,10200,357.2,9
2018-04-18,10200,338.1,8
2018-04-19,10200,379.9,7
2018-04-20,10200,380.4,6
2018-04-23,10200,387.15,3
2018-04-24,10200,414.0,2
2018-04-25,10200,364.7,1
2018-04-26,10200,417.0,0
2018-03-13,10250,261.0,44
2018-03-15,10250,305.0,42
2018-03-19,10250,160.0,38
2018-03-20,10250,148.45,37
2018-03-21,10250,162.3,36
2018-03-22,10250,135.95,35
2018-03-23,10250,86.45,34
2018-03-26,10250,133.0,31
2018-03-27,10250,145.65,30
2018-03-28,10250,118.3,29
2018-04-02,10250,154.55,24
2018-04-03,10250,163.1,23
2018-04-04,10250,100.9,22
2018-04-05,10250,192.6,21
2018-04-06,10250,189.4,20
2018-04-09,10250,210.95,17
2018-04-10,10250,223.55,16
2018-04-11,10250,223.2,15
2018-04-12,10250,252.05,14
2018-04-13,10250,264.15,13
2018-04-16,10250,305.3,10
2018-04-17,10250,311.8,9
2018-04-18,10250,298.6,8
2018-04-19,10250,332.15,7
2018-04-20,10250,329.85,6
2018-04-23,10250,332.3,3
2018-04-24,10250,363.35,2
2018-04-25,10250,313.4,1
2018-04-26,10250,357.95,0
2018-03-13,10300,281.9,44
2018-03-14,10300,277.7,43
2018-03-15,10300,243.8,42
2018-03-16,10300,173.65,41
2018-03-19,10300,121.8,38
2018-03-20,10300,125.7,37
2018-03-21,10300,137.55,36
2018-03-22,10300,115.75,35
2018-03-23,10300,71.45,34
2018-03-26,10300,109.25,31
2018-03-27,10300,119.2,30
2018-03-28,10300,95.05,29
2018-04-02,10300,127.15,24
2018-04-03,10300,134.9,23
2018-04-04,10300,80.5,22
2018-04-05,10300,161.05,21
2018-04-06,10300,157.95,20
2018-04-09,10300,176.75,17
2018-04-10,10300,188.35,16
2018-04-11,10300,186.9,15
2018-04-12,10300,213.5,14
2018-04-13,10300,225.9,13
2018-04-16,10300,263.1,10
2018-04-17,10300,266.8,9
2018-04-18,10300,250.1,8
2018-04-19,10300,286.95,7
2018-04-20,10300,286.85,6
2018-04-23,10300,287.3,3
2018-04-24,10300,313.6,2
2018-04-25,10300,266.5,1
2018-04-26,10300,316.95,0
2018-03-15,10350,216.7,42
2018-03-16,10350,155.2,41
2018-03-19,10350,102.15,38
2018-03-20,10350,106.4,37
2018-03-21,10350,112.45,36
2018-03-22,10350,95.35,35
