Strike Price,Date - Index,Close,Expiration
10000,19-12-18,1034.35,43
10000,20-12-18,1018.9,42
10000,21-12-18,837.95,41
10000,24-12-18,760,38
10000,26-12-18,805.4,36
10000,27-12-18,823.05,35
10000,28-12-18,912.8,34
10000,31-12-18,920.1,31
10000,01-01-19,962.95,30
10000,02-01-19,839.3,29
10000,03-01-19,733.6,28
10000,04-01-19,786.9,27
10000,07-01-19,805.45,24
10000,08-01-19,850.7,23
10000,09-01-19,875.4,22
10000,10-01-19,856.15,21
10000,11-01-19,812.55,20
10000,14-01-19,764.35,17
10000,15-01-19,919.6,16
10000,16-01-19,917.4,15
10000,17-01-19,916.15,14
10000,18-01-19,923.2,13
10000,21-01-19,961.55,10
10000,22-01-19,930.75,9
10000,23-01-19,848.95,8
10000,24-01-19,866.55,7
10000,25-01-19,780.8,6
10000,28-01-19,673.85,3
10000,29-01-19,660.1,2
10000,30-01-19,628.6,1
10000,31-01-19,831.25,0
10050,27-12-18,701.05,35
10050,31-12-18,900.55,31
10050,01-01-19,873.35,30
10050,10-01-19,803.85,21
10050,22-01-19,898.35,9
10050,23-01-19,792.5,8
10050,25-01-19,894.95,6
10050,29-01-19,638.5,2
10050,31-01-19,746,0
10100,19-12-18,942.65,43
10100,20-12-18,924.15,42
10100,21-12-18,746.8,41
10100,24-12-18,663.3,38
10100,26-12-18,720.15,36
10100,27-12-18,731.7,35
10100,28-12-18,847,34
10100,31-12-18,830,31
10100,01-01-19,821.3,30
10100,02-01-19,746.35,29
10100,03-01-19,649.55,28
10100,04-01-19,694.95,27
10100,07-01-19,707.5,24
10100,08-01-19,759.35,23
10100,09-01-19,750,22
10100,10-01-19,752.9,21
10100,11-01-19,717.6,20
10100,14-01-19,669.25,17
10100,15-01-19,829.35,16
10100,16-01-19,822.5,15
10100,17-01-19,828,14
10100,18-01-19,820.25,13
10100,21-01-19,859.3,10
10100,22-01-19,836.8,9
10100,23-01-19,775.85,8
10100,24-01-19,776.4,7
10100,25-01-19,679.4,6
10100,28-01-19,575,3
10100,29-01-19,589.15,2
10100,30-01-19,527.1,1
10100,31-01-19,732.4,0
10150,09-01-19,703.35,22
10150,28-01-19,552.65,3
10200,19-12-18,855.95,43
