Date,Strike price,Close,Expiration
2016-12-20, 8150,149.0,36
2016-12-21, 8150,145.0,35
2016-12-22, 8150,195.0,34
2016-12-23, 8150,196.4,33
2016-12-26, 8150,255.0,30
2016-12-27, 8150,163.0,29
2016-12-28, 8150,166.0,28
2016-12-29, 8150,137.4,27
2016-12-30, 8150,104.0,26
2017-01-02, 8150,98.0,23
2017-01-03, 8150,99.0,22
2017-01-04, 8150,89.5,21
2017-01-05, 8150,54.95,20
2017-01-06, 8150,55.0,19
2017-01-09, 8150,55.7,16
2017-01-10, 8150,37.3,15
2017-01-11, 8150,20.65,14
2017-01-12, 8150,14.0,13
2017-01-13, 8150,11.3,12
2017-01-16, 8150,8.45,9
2017-01-17, 8150,8.55,8
2017-01-18, 8150,4.75,7
2017-01-19, 8150,3.05,6
2017-01-20, 8150,5.6,5
2017-01-23, 8150,1.4,2
2017-01-24, 8150,0.6,1
2017-01-25, 8150,0.05,0
2016-12-29, 8450,319.05,27
2016-12-30, 8450,292.0,26
2017-01-02, 8450,279.95,23
2017-01-03, 8450,298.1,22
2017-01-04, 8450,264.35,21
2017-01-05, 8450,196.1,20
2017-01-06, 8450,201.15,19
2017-01-09, 8450,217.7,16
2017-01-10, 8450,171.85,15
2017-01-11, 8450,111.0,14
2017-01-12, 8450,87.2,13
2017-01-13, 8450,79.85,12
2017-01-16, 8450,67.0,9
2017-01-17, 8450,82.4,8
2017-01-18, 8450,62.0,7
2017-01-19, 8450,53.15,6
2017-01-20, 8450,96.75,5
2017-01-23, 8450,54.95,2
2017-01-24, 8450,10.1,1
2017-01-25, 8450,0.05,0
2016-12-14, 8100,111.8,42
2016-12-15, 8100,111.0,41
2016-12-16, 8100,117.65,40
2016-12-19, 8100,116.0,37
2016-12-20, 8100,117.55,36
2016-12-21, 8100,127.5,35
2016-12-22, 8100,167.15,34
2016-12-23, 8100,165.0,33
2016-12-26, 8100,218.45,30
2016-12-27, 8100,147.9,29
2016-12-28, 8100,142.4,28
2016-12-29, 8100,115.1,27
2016-12-30, 8100,86.95,26
2017-01-02, 8100,82.65,23
2017-01-03, 8100,83.0,22
2017-01-04, 8100,72.9,21
2017-01-05, 8100,43.9,20
2017-01-06, 8100,43.7,19
2017-01-09, 8100,43.25,16
2017-01-10, 8100,29.0,15
2017-01-11, 8100,15.7,14
2017-01-12, 8100,10.65,13
2017-01-13, 8100,8.45,12
2017-01-16, 8100,6.05,9
2017-01-17, 8100,6.05,8
2017-01-18, 8100,3.5,7
2017-01-19, 8100,2.05,6
2017-01-20, 8100,3.8,5
2017-01-23, 8100,1.0,2
2017-01-24, 8100,0.4,1
2017-01-25, 8100,0.05,0
2016-12-14, 7800,49.35,42
2016-12-15, 7800,46.4,41
2016-12-16, 7800,45.05,40
2016-12-19, 7800,43.0,37
2016-12-20, 7800,40.05,36
2016-12-21, 7800,43.45,35
2016-12-22, 7800,61.45,34
2016-12-23, 7800,56.6,33
2016-12-26, 7800,85.0,30
2016-12-27, 7800,49.7,29
2016-12-28, 7800,49.0,28
2016-12-29, 7800,38.3,27
2016-12-30, 7800,30.05,26
2017-01-02, 7800,24.75,23
2017-01-03, 7800,25.0,22
2017-01-04, 7800,21.5,21
2017-01-05, 7800,11.65,20
2017-01-06, 7800,10.5,19
2017-01-09, 7800,9.9,16
2017-01-10, 7800,6.1,15
2017-01-11, 7800,4.55,14
2017-01-12, 7800,3.25,13
2017-01-13, 7800,2.6,12
2017-01-16, 7800,2.15,9
2017-01-17, 7800,1.9,8
2017-01-18, 7800,1.35,7
2017-01-19, 7800,0.8,6
2017-01-20, 7800,0.85,5
2017-01-23, 7800,0.35,2
2017-01-24, 7800,0.3,1
2017-01-25, 7800,0.05,0
2016-12-14, 8300,188.7,42
2016-12-15, 8300,193.4,41
2016-12-16, 8300,205.15,40
2016-12-19, 8300,213.95,37
2016-12-20, 8300,220.0,36
2016-12-21, 8300,239.4,35
2016-12-22, 8300,294.35,34
2016-12-23, 8300,297.0,33
2016-12-26, 8300,365.7,30
2016-12-27, 8300,277.85,29
2016-12-28, 8300,270.85,28
2016-12-29, 8300,222.65,27
2016-12-30, 8300,175.0,26
2017-01-02, 8300,170.05,23
2017-01-03, 8300,173.5,22
2017-01-04, 8300,157.0,21
2017-01-05, 8300,105.75,20
2017-01-06, 8300,110.0,19
2017-01-09, 8300,114.15,16
2017-01-10, 8300,85.0,15
2017-01-11, 8300,48.05,14
2017-01-12, 8300,35.7,13
2017-01-13, 8300,29.7,12
2017-01-16, 8300,22.55,9
2017-01-17, 8300,27.6,8
2017-01-18, 8300,17.8,7
2017-01-19, 8300,12.5,6
2017-01-20, 8300,25.15,5
2017-01-23, 8300,6.5,2
2017-01-24, 8300,1.2,1
2017-01-25, 8300,0.05,0
2016-12-14, 8200,145.9,42
2016-12-15, 8200,147.0,41
2016-12-16, 8200,155.0,40
2016-12-19, 8200,158.35,37
2016-12-20, 8200,162.0,36
2016-12-21, 8200,177.3,35
2016-12-22, 8200,223.95,34
2016-12-23, 8200,221.5,33
2016-12-26, 8200,286.0,30
2016-12-27, 8200,205.05,29
2016-12-28, 8200,200.0,28
2016-12-29, 8200,160.5,27
2016-12-30, 8200,124.1,26
2017-01-02, 8200,120.0,23
2017-01-03, 8200,120.9,22
2017-01-04, 8200,108.25,21
2017-01-05, 8200,68.5,20
2017-01-06, 8200,69.5,19
2017-01-09, 8200,71.0,16
2017-01-10, 8200,49.8,15
2017-01-11, 8200,27.0,14
2017-01-12, 8200,19.0,13
2017-01-13, 8200,15.25,12
2017-01-16, 8200,11.1,9
2017-01-17, 8200,12.5,8
2017-01-18, 8200,7.2,7
2017-01-19, 8200,4.5,6
2017-01-20, 8200,9.05,5
2017-01-23, 8200,2.05,2
2017-01-24, 8200,0.6,1
2017-01-25, 8200,0.05,0
2016-12-21, 8250,180.0,35
2016-12-23, 8250,298.0,33
2016-12-26, 8250,306.0,30
2016-12-28, 8250,235.0,28
2016-12-29, 8250,190.0,27
2016-12-30, 8250,148.0,26
2017-01-02, 8250,141.35,23
2017-01-03, 8250,140.6,22
2017-01-04, 8250,129.0,21
2017-01-05, 8250,85.4,20
2017-01-06, 8250,86.5,19
2017-01-09, 8250,89.9,16
2017-01-10, 8250,65.55,15
2017-01-11, 8250,35.95,14
2017-01-12, 8250,26.2,13
2017-01-13, 8250,20.0,12
2017-01-16, 8250,15.7,9
2017-01-17, 8250,18.4,8
2017-01-18, 8250,11.2,7
2017-01-19, 8250,7.25,6
2017-01-20, 8250,15.25,5
2017-01-23, 8250,3.45,2
2017-01-24, 8250,0.75,1
2017-01-25, 8250,0.05,0
2016-12-14, 8700,473.8,42
2016-12-15, 8700,495.35,41
2016-12-16, 8700,516.05,40
2016-12-19, 8700,533.75,37
2016-12-20, 8700,548.75,36
2016-12-21, 8700,578.55,35
2016-12-22, 8700,652.3,34
2016-12-23, 8700,661.2,33
2016-12-26, 8700,748.0,30
2016-12-27, 8700,635.0,29
2016-12-28, 8700,634.1,28
2016-12-29, 8700,573.6,27
2016-12-30, 8700,508.55,26
2017-01-02, 8700,506.0,23
2017-01-03, 8700,501.15,22
2017-01-04, 8700,492.2,21
2017-01-05, 8700,412.75,20
2017-01-06, 8700,427.9,19
2017-01-09, 8700,446.3,16
2017-01-10, 8700,400.0,15
2017-01-11, 8700,316.7,14
2017-01-12, 8700,282.2,13
2017-01-13, 8700,284.5,12
2017-01-16, 8700,265.3,9
2017-01-17, 8700,299.25,8
2017-01-18, 8700,267.85,7
2017-01-19, 8700,260.35,6
2017-01-20, 8700,333.0,5
2017-01-23, 8700,281.8,2
2017-01-24, 8700,210.0,1
2017-01-25, 8700,85.1,0
2016-12-29, 8350,253.05,27
2016-12-30, 8350,201.3,26
2017-01-02, 8350,201.5,23
2017-01-03, 8350,200.85,22
2017-01-04, 8350,197.0,21
2017-01-05, 8350,128.75,20
2017-01-06, 8350,138.35,19
2017-01-09, 8350,142.45,16
2017-01-10, 8350,110.0,15
2017-01-11, 8350,64.5,14
2017-01-12, 8350,47.6,13
2017-01-13, 8350,40.0,12
2017-01-16, 8350,32.0,9
2017-01-17, 8350,40.2,8
2017-01-18, 8350,26.5,7
2017-01-19, 8350,20.65,6
2017-01-20, 8350,40.0,5
2017-01-23, 8350,13.1,2
2017-01-24, 8350,1.75,1
2017-01-25, 8350,0.05,0
2016-12-21, 8050,139.0,35
2016-12-22, 8050,148.0,34
2016-12-23, 8050,139.35,33
2016-12-26, 8050,187.0,30
2016-12-27, 8050,123.7,29
2016-12-28, 8050,121.0,28
2016-12-29, 8050,97.6,27
2016-12-30, 8050,73.45,26
2017-01-02, 8050,67.9,23
2017-01-03, 8050,68.25,22
2017-01-04, 8050,60.9,21
2017-01-05, 8050,30.0,20
2017-01-06, 8050,34.1,19
2017-01-09, 8050,33.65,16
2017-01-10, 8050,22.25,15
2017-01-11, 8050,12.55,14
2017-01-12, 8050,8.75,13
2017-01-13, 8050,7.05,12
2017-01-16, 8050,5.1,9
2017-01-17, 8050,4.6,8
2017-01-18, 8050,2.65,7
2017-01-19, 8050,1.6,6
2017-01-20, 8050,2.55,5
2017-01-23, 8050,0.5,2
2017-01-24, 8050,0.3,1
2017-01-25, 8050,0.05,0
2016-12-14, 8500,311.85,42
2016-12-15, 8500,323.0,41
2016-12-16, 8500,339.5,40
2016-12-19, 8500,356.95,37
2016-12-20, 8500,366.05,36
2016-12-21, 8500,396.15,35
2016-12-22, 8500,463.05,34
2016-12-23, 8500,472.0,33
2016-12-26, 8500,549.0,30
