Date,Strike price,Close,Expiration
2014-11-13,7700,25.0,77
2014-11-14,7700,22.2,76
2014-11-17,7700,17.15,73
2014-11-18,7700,15.5,72
2014-11-19,7700,18.5,71
2014-11-20,7700,17.0,70
2014-11-21,7700,15.0,69
2014-11-24,7700,11.0,66
2014-11-25,7700,14.0,65
2014-11-26,7700,11.0,64
2014-11-27,7700,11.0,63
2014-11-28,7700,7.15,62
2014-12-01,7700,7.65,59
2014-12-02,7700,6.9,58
2014-12-03,7700,6.0,57
2014-12-04,7700,5.4,56
2014-12-05,7700,5.45,55
2014-12-08,7700,5.05,52
2014-12-09,7700,7.85,51
2014-12-10,7700,6.4,50
2014-12-11,7700,9.0,49
2014-12-12,7700,15.25,48
2014-12-15,7700,15.4,45
2014-12-16,7700,42.0,44
2014-12-17,7700,55.0,43
2014-12-18,7700,23.9,42
2014-12-19,7700,21.9,41
2014-12-22,7700,15.95,38
2014-12-23,7700,19.25,37
2014-12-24,7700,20.0,36
2014-12-26,7700,16.1,34
2014-12-29,7700,12.8,31
2014-12-30,7700,11.95,30
2014-12-31,7700,12.0,29
2015-01-01,7700,11.2,28
2015-01-02,7700,6.8,27
2015-01-05,7700,6.3,24
2015-01-06,7700,27.0,23
2015-01-07,7700,24.95,22
2015-01-08,7700,12.5,21
2015-01-09,7700,10.2,20
2015-01-12,7700,7.3,17
2015-01-13,7700,8.3,16
2015-01-14,7700,8.4,15
2015-01-15,7700,5.0,14
2015-01-16,7700,4.05,13
2015-01-19,7700,3.95,10
2015-01-20,7700,3.0,9
2015-01-21,7700,2.15,8
2015-01-22,7700,2.05,7
2015-01-23,7700,1.35,6
2015-01-27,7700,1.0,2
2015-01-28,7700,0.55,1
2015-01-29,7700,0.05,0
2014-11-13,7800,31.9,77
2014-11-14,7800,28.8,76
2014-11-17,7800,24.5,73
2014-11-18,7800,21.55,72
2014-11-19,7800,25.2,71
2014-11-20,7800,23.25,70
2014-11-21,7800,19.55,69
2014-11-24,7800,14.55,66
2014-11-25,7800,16.0,65
2014-11-26,7800,13.5,64
2014-11-27,7800,13.45,63
2014-11-28,7800,9.9,62
2014-12-01,7800,10.85,59
2014-12-02,7800,9.0,58
2014-12-03,7800,7.6,57
2014-12-04,7800,7.3,56
2014-12-05,7800,7.4,55
2014-12-08,7800,8.0,52
2014-12-09,7800,10.85,51
2014-12-10,7800,9.0,50
2014-12-11,7800,14.05,49
2014-12-12,7800,18.6,48
2014-12-15,7800,22.95,45
2014-12-16,7800,59.4,44
2014-12-17,7800,74.3,43
2014-12-18,7800,34.0,42
2014-12-19,7800,31.25,41
2014-12-22,7800,21.0,38
2014-12-23,7800,26.6,37
2014-12-24,7800,28.8,36
2014-12-26,7800,24.8,34
2014-12-29,7800,19.15,31
2014-12-30,7800,18.0,30
2014-12-31,7800,18.65,29
2015-01-01,7800,16.95,28
2015-01-02,7800,9.3,27
2015-01-05,7800,9.05,24
2015-01-06,7800,39.0,23
2015-01-07,7800,37.2,22
2015-01-08,7800,18.85,21
2015-01-09,7800,14.6,20
2015-01-12,7800,10.2,17
2015-01-13,7800,12.3,16
2015-01-14,7800,13.0,15
2015-01-15,7800,7.4,14
2015-01-16,7800,6.2,13
2015-01-19,7800,5.15,10
2015-01-20,7800,4.0,9
2015-01-21,7800,2.85,8
2015-01-22,7800,2.3,7
2015-01-23,7800,1.4,6
2015-01-27,7800,0.9,2
2015-01-28,7800,0.5,1
2015-01-29,7800,0.05,0
2014-11-13,7900,40.9,77
2014-11-14,7900,38.0,76
2014-11-17,7900,31.6,73
2014-11-18,7900,29.9,72
2014-11-19,7900,34.0,71
2014-11-20,7900,29.4,70
2014-11-21,7900,23.05,69
2014-11-24,7900,17.95,66
2014-11-25,7900,21.0,65
2014-11-26,7900,18.4,64
2014-11-27,7900,16.85,63
2014-11-28,7900,12.55,62
2014-12-01,7900,13.95,59
2014-12-02,7900,11.65,58
2014-12-03,7900,10.1,57
2014-12-04,7900,9.3,56
2014-12-05,7900,9.55,55
2014-12-08,7900,10.5,52
2014-12-09,7900,14.9,51
2014-12-10,7900,13.7,50
2014-12-11,7900,18.85,49
2014-12-12,7900,33.95,48
2014-12-15,7900,32.05,45
2014-12-16,7900,75.0,44
2014-12-17,7900,96.6,43
2014-12-18,7900,49.0,42
2014-12-19,7900,42.55,41
2014-12-22,7900,26.15,38
2014-12-23,7900,37.0,37
2014-12-24,7900,40.1,36
2014-12-26,7900,35.75,34
2014-12-29,7900,28.15,31
2014-12-30,7900,27.15,30
2014-12-31,7900,27.25,29
2015-01-01,7900,25.35,28
2015-01-02,7900,12.3,27
2015-01-05,7900,12.3,24
2015-01-06,7900,56.65,23
2015-01-07,7900,53.85,22
2015-01-08,7900,28.45,21
2015-01-09,7900,21.1,20
2015-01-12,7900,15.3,17
2015-01-13,7900,17.6,16
2015-01-14,7900,18.55,15
2015-01-15,7900,10.15,14
2015-01-16,7900,8.7,13
2015-01-19,7900,6.85,10
2015-01-20,7900,4.6,9
2015-01-21,7900,3.05,8
2015-01-22,7900,2.6,7
2015-01-23,7900,1.65,6
2015-01-27,7900,0.95,2
2015-01-28,7900,0.5,1
2015-01-29,7900,0.05,0
2014-11-13,8000,56.35,77
2014-11-14,8000,52.5,76
2014-11-17,8000,42.0,73
2014-11-18,8000,40.05,72
2014-11-19,8000,44.0,71
2014-11-20,8000,40.95,70
2014-11-21,8000,31.05,69
2014-11-24,8000,24.3,66
2014-11-25,8000,25.45,65
2014-11-26,8000,23.5,64
2014-11-27,8000,22.5,63
2014-11-28,8000,17.1,62
2014-12-01,8000,18.85,59
2014-12-02,8000,16.4,58
2014-12-03,8000,13.5,57
2014-12-04,8000,13.2,56
2014-12-05,8000,13.45,55
2014-12-08,8000,15.7,52
2014-12-09,8000,23.95,51
2014-12-10,8000,21.9,50
2014-12-11,8000,30.0,49
2014-12-12,8000,47.2,48
2014-12-15,8000,48.35,45
2014-12-16,8000,100.0,44
2014-12-17,8000,128.6,43
2014-12-18,8000,68.0,42
2014-12-19,8000,56.1,41
2014-12-22,8000,34.7,38
2014-12-23,8000,48.8,37
2014-12-24,8000,56.9,36
2014-12-26,8000,51.5,34
2014-12-29,8000,42.0,31
2014-12-30,8000,40.5,30
2014-12-31,8000,40.25,29
2015-01-01,8000,37.35,28
2015-01-02,8000,16.65,27
2015-01-05,8000,17.25,24
2015-01-06,8000,81.65,23
2015-01-07,8000,78.0,22
2015-01-08,8000,41.0,21
2015-01-09,8000,30.8,20
2015-01-12,8000,22.3,17
2015-01-13,8000,26.45,16
2015-01-14,8000,27.8,15
2015-01-15,8000,14.0,14
2015-01-16,8000,11.6,13
2015-01-19,8000,9.0,10
2015-01-20,8000,5.3,9
2015-01-21,8000,3.4,8
2015-01-22,8000,2.75,7
2015-01-23,8000,1.8,6
2015-01-27,8000,1.05,2
2015-01-28,8000,0.55,1
2015-01-29,8000,0.05,0
2014-11-13,8100,73.05,77
2014-11-14,8100,67.35,76
2014-11-17,8100,56.8,73
2014-11-18,8100,54.3,72
2014-11-19,8100,57.95,71
2014-11-20,8100,52.85,70
2014-11-21,8100,40.55,69
2014-11-24,8100,32.0,66
2014-11-25,8100,35.9,65
2014-11-26,8100,33.0,64
2014-11-27,8100,31.25,63
2014-11-28,8100,23.6,62
2014-12-01,8100,26.05,59
2014-12-02,8100,24.45,58
2014-12-03,8100,19.75,57
2014-12-04,8100,19.05,56
2014-12-05,8100,20.3,55
2014-12-08,8100,23.6,52
2014-12-09,8100,37.7,51
2014-12-10,8100,33.5,50
2014-12-11,8100,47.0,49
2014-12-12,8100,70.75,48
2014-12-15,8100,71.1,45
2014-12-16,8100,133.3,44
2014-12-17,8100,165.4,43
2014-12-18,8100,92.55,42
2014-12-19,8100,77.9,41
2014-12-22,8100,47.0,38
2014-12-23,8100,66.0,37
2014-12-24,8100,79.05,36
2014-12-26,8100,74.0,34
2014-12-29,8100,60.25,31
2014-12-30,8100,59.35,30
2014-12-31,8100,58.5,29
2015-01-01,8100,52.45,28
2015-01-02,8100,24.0,27
2015-01-05,8100,25.1,24
2015-01-06,8100,115.4,23
2015-01-07,8100,110.05,22
2015-01-08,8100,61.85,21
2015-01-09,8100,45.0,20
2015-01-12,8100,32.0,17
2015-01-13,8100,39.0,16
2015-01-14,8100,41.7,15
2015-01-15,8100,19.5,14
2015-01-16,8100,15.75,13
2015-01-19,8100,11.8,10
2015-01-20,8100,6.5,9
2015-01-21,8100,4.1,8
2015-01-22,8100,3.2,7
2015-01-23,8100,2.2,6
2015-01-27,8100,1.1,2
2015-01-28,8100,0.5,1
2015-01-29,8100,0.05,0
2014-11-13,8200,94.5,77
2014-11-14,8200,86.95,76
2014-11-17,8200,73.0,73
2014-11-18,8200,70.9,72
2014-11-19,8200,78.0,71
2014-11-20,8200,73.35,70
2014-11-21,8200,55.0,69
2014-11-24,8200,45.0,66
2014-11-25,8200,51.85,65
2014-11-26,8200,47.05,64
2014-11-27,8200,44.5,63
2014-11-28,8200,34.4,62
2014-12-01,8200,37.85,59
2014-12-02,8200,36.45,58
2014-12-03,8200,31.25,57
2014-12-04,8200,29.55,56
2014-12-05,8200,31.3,55
2014-12-08,8200,36.4,52
2014-12-09,8200,57.8,51
2014-12-10,8200,51.0,50
2014-12-11,8200,70.1,49
2014-12-12,8200,100.45,48
2014-12-15,8200,99.5,45
2014-12-16,8200,172.1,44
2014-12-17,8200,210.0,43
2014-12-18,8200,126.2,42
2014-12-19,8200,104.0,41
2014-12-22,8200,65.0,38
2014-12-23,8200,90.0,37
2014-12-24,8200,108.35,36
2014-12-26,8200,104.65,34
2014-12-29,8200,86.2,31
2014-12-30,8200,84.8,30
2014-12-31,8200,82.6,29
2015-01-01,8200,74.0,28
2015-01-02,8200,35.5,27
2015-01-05,8200,39.15,24
2015-01-06,8200,158.75,23
2015-01-07,8200,152.55,22
2015-01-08,8200,91.95,21
2015-01-09,8200,67.0,20
2015-01-12,8200,48.8,17
2015-01-13,8200,58.55,16
2015-01-14,8200,63.0,15
2015-01-15,8200,28.0,14
2015-01-16,8200,22.5,13
2015-01-19,8200,16.4,10
2015-01-20,8200,8.0,9
2015-01-21,8200,5.5,8
2015-01-22,8200,3.8,7
2015-01-23,8200,2.55,6
2015-01-27,8200,1.05,2
2015-01-28,8200,0.55,1
2015-01-29,8200,0.05,0
2014-11-13,8300,124.75,77
2014-11-14,8300,115.0,76
2014-11-17,8300,97.0,73
2014-11-18,8300,96.0,72
2014-11-19,8300,103.0,71
2014-11-20,8300,97.15,70
2014-11-21,8300,76.95,69
2014-11-24,8300,62.5,66
2014-11-25,8300,73.1,65
2014-11-26,8300,67.3,64
2014-11-27,8300,65.4,63
2014-11-28,8300,48.8,62
2014-12-01,8300,54.0,59
2014-12-02,8300,53.7,58
2014-12-03,8300,48.05,57
2014-12-04,8300,44.55,56
2014-12-05,8300,47.0,55
2014-12-08,8300,57.5,52
2014-12-09,8300,87.35,51
2014-12-10,8300,77.35,50
2014-12-11,8300,100.0,49
2014-12-12,8300,138.25,48
2014-12-15,8300,136.05,45
2014-12-16,8300,222.35,44
2014-12-17,8300,265.0,43
2014-12-18,8300,171.0,42
2014-12-19,8300,139.75,41
2014-12-22,8300,89.95,38
2014-12-23,8300,123.0,37
2014-12-24,8300,147.25,36
2014-12-26,8300,146.45,34
2014-12-29,8300,121.15,31
2014-12-30,8300,119.0,30
2014-12-31,8300,116.5,29
2015-01-01,8300,104.7,28
2015-01-02,8300,54.15,27
2015-01-05,8300,60.5,24
2015-01-06,8300,215.0,23
2015-01-07,8300,209.0,22
2015-01-08,8300,135.2,21
2015-01-09,8300,100.2,20
2015-01-12,8300,75.2,17
2015-01-13,8300,90.05,16
2015-01-14,8300,95.0,15
2015-01-15,8300,43.0,14
2015-01-16,8300,33.5,13
2015-01-19,8300,23.95,10
2015-01-20,8300,11.6,9
2015-01-21,8300,7.95,8
2015-01-22,8300,5.65,7
2015-01-23,8300,2.85,6
2015-01-27,8300,1.45,2
2015-01-28,8300,0.55,1
